Year,Avg Annual LFPR
1976,62.525000000000006
1977,63.74999999999999
1978,65.07499999999999
1979,65.575
1980,65.60833333333333
1981,65.40833333333335
1982,65.975
1983,65.70833333333333
1984,65.8
1985,66.01666666666667
1986,66.45833333333333
1987,66.95
1988,67.36666666666666
1989,67.75833333333334
1990,67.0
1991,66.425
1992,66.39166666666667
1993,65.92500000000001
1994,65.81666666666668
1995,65.63333333333334
1996,65.65833333333333
1997,66.31666666666668
1998,66.65
1999,66.55000000000001
2000,67.04166666666667
2001,66.975
2002,66.625
2003,65.89166666666667
2004,65.56666666666668
2005,65.525
2006,65.38333333333334
2007,65.68333333333332
2008,65.85000000000001
2009,65.5
2010,64.375
2011,63.56666666666666
2012,63.10833333333334
2013,62.66666666666666
2014,62.324999999999996
2015,62.15
2016,62.199999999999996
2017,62.28333333333333
2018,62.29999999999999
2019,62.508333333333326
2020,60.84166666666667
2021,61.050000000000004
2022,61.92500000000001
