Year,Avg Annual UNEMP
1976,9.174999999999999
1977,8.391666666666666
1978,7.133333333333333
1979,6.233333333333333
1980,6.874999999999999
1981,7.441666666666666
1982,10.05
1983,9.816666666666668
1984,7.758333333333334
1985,7.199999999999999
1986,6.758333333333333
1987,5.833333333333333
1988,5.291666666666666
1989,5.083333333333333
1990,5.766666666666667
1991,7.808333333333334
1992,9.366666666666667
1993,9.524999999999999
1994,8.658333333333333
1995,7.8833333333333355
1996,7.341666666666668
1997,6.3999999999999995
1998,5.958333333333333
1999,5.2749999999999995
2000,4.8999999999999995
2001,5.466666666666666
2002,6.766666666666666
2003,6.891666666666667
2004,6.216666666666666
2005,5.375
2006,4.883333333333334
2007,5.333333333333333
2008,7.2749999999999995
2009,11.541666666666666
2010,12.475
2011,11.891666666666667
2012,10.516666666666667
2013,9.033333333333333
2014,7.558333333333333
2015,6.266666666666667
2016,5.508333333333333
2017,4.841666666666666
2018,4.258333333333334
2019,4.1
2020,10.208333333333334
2021,7.308333333333334
2022,4.216666666666667
